video_id,label,frames,label_id,shape,format
1336,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1363,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1376,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1380,Thumb Up,37,20,"(100, 176)",JPEG
1397,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1398,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1402,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1421,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1432,Thumb Up,37,20,"(100, 132)",JPEG
1478,Thumb Up,37,20,"(100, 176)",JPEG
1487,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1492,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1509,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1517,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1524,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1525,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1532,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1537,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1547,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1554,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1555,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1561,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1563,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1565,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1577,Thumb Down,37,19,"(100, 176)",JPEG
1594,Thumb Down,37,19,"(100, 176)",JPEG
1611,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1616,Thumb Up,37,20,"(100, 176)",JPEG
1648,Thumb Up,37,20,"(100, 176)",JPEG
1651,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1654,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1667,Thumb Down,37,19,"(100, 176)",JPEG
1677,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
1681,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1702,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1712,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1733,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1742,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1749,Thumb Down,37,19,"(100, 176)",JPEG
1756,Thumb Up,37,20,"(100, 176)",JPEG
1820,Thumb Up,37,20,"(100, 132)",JPEG
1831,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1835,Thumb Up,37,20,"(100, 176)",JPEG
1866,Thumb Up,37,20,"(100, 176)",JPEG
1869,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1893,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1899,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1909,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1916,Thumb Down,37,19,"(100, 176)",JPEG
1917,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1922,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
1925,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1933,Thumb Down,37,19,"(100, 176)",JPEG
1949,Thumb Down,37,19,"(100, 176)",JPEG
1957,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1964,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1965,Thumb Up,37,20,"(100, 132)",JPEG
1966,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1973,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1984,Thumb Up,37,20,"(100, 132)",JPEG
2011,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2018,Thumb Up,37,20,"(100, 176)",JPEG
2020,Thumb Up,37,20,"(100, 176)",JPEG
2023,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2034,Thumb Up,37,20,"(100, 176)",JPEG
2038,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
2046,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2049,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2057,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
2059,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2063,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
2074,Thumb Up,37,20,"(100, 176)",JPEG
2102,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2117,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2146,Thumb Down,37,19,"(100, 176)",JPEG
2153,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2156,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2189,Thumb Down,37,19,"(100, 176)",JPEG
2192,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2209,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2220,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2237,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2267,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2271,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2272,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2279,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
2287,Thumb Up,37,20,"(100, 176)",JPEG
2290,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2310,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2313,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2332,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
2336,Thumb Down,37,19,"(100, 176)",JPEG
2338,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2343,Thumb Down,37,19,"(100, 176)",JPEG
2360,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2371,Thumb Up,37,20,"(100, 176)",JPEG
2374,Thumb Up,37,20,"(100, 176)",JPEG
2375,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
2385,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2388,Thumb Up,37,20,"(100, 176)",JPEG
2407,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2409,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
2419,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2425,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2431,Thumb Up,37,20,"(100, 176)",JPEG
2451,Thumb Up,37,20,"(100, 176)",JPEG
2467,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2473,Thumb Down,37,19,"(100, 176)",JPEG
2484,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2494,Thumb Up,37,20,"(100, 176)",JPEG
2499,Thumb Down,37,19,"(100, 176)",JPEG
2502,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2516,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2530,Thumb Down,37,19,"(100, 176)",JPEG
2541,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2577,Thumb Down,37,19,"(100, 132)",JPEG
2578,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
2589,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
2594,Thumb Down,37,19,"(100, 176)",JPEG
2599,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2612,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2613,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
2617,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2620,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2630,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2631,Thumb Up,37,20,"(100, 176)",JPEG
2645,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2650,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2654,Thumb Up,37,20,"(100, 132)",JPEG
2671,Thumb Up,37,20,"(100, 176)",JPEG
2673,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2701,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2718,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2745,Thumb Up,37,20,"(100, 132)",JPEG
2767,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2774,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2830,Thumb Down,37,19,"(100, 176)",JPEG
2847,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2856,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
2857,Thumb Up,37,20,"(100, 176)",JPEG
2871,Thumb Up,37,20,"(100, 176)",JPEG
2883,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2893,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2897,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2906,Thumb Up,37,20,"(100, 132)",JPEG
2912,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2913,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2930,Thumb Down,37,19,"(100, 176)",JPEG
2938,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2947,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2952,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
2973,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3002,Thumb Down,37,19,"(100, 176)",JPEG
3004,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3007,Thumb Down,37,19,"(100, 132)",JPEG
3009,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3020,Thumb Up,37,20,"(100, 176)",JPEG
3033,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3035,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3042,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3050,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3055,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3059,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3062,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3066,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3075,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3093,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3117,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3119,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
3126,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3130,Thumb Down,37,19,"(100, 176)",JPEG
3131,Thumb Down,37,19,"(100, 176)",JPEG
3137,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3142,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3154,Thumb Up,37,20,"(100, 176)",JPEG
3168,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3171,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3180,Thumb Down,37,19,"(100, 176)",JPEG
3192,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3201,Thumb Down,37,19,"(100, 176)",JPEG
3203,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3209,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3228,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3238,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3243,Thumb Up,37,20,"(100, 176)",JPEG
3253,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3258,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3259,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3270,Thumb Down,37,19,"(100, 176)",JPEG
3314,Thumb Up,37,20,"(100, 132)",JPEG
3327,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3341,Thumb Up,37,20,"(100, 176)",JPEG
3356,Thumb Up,37,20,"(100, 176)",JPEG
3367,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3380,Thumb Down,37,19,"(100, 176)",JPEG
3389,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3392,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3396,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3407,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3437,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
3441,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3458,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3500,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3501,Thumb Down,37,19,"(100, 176)",JPEG
3526,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3535,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3541,Thumb Down,37,19,"(100, 176)",JPEG
3554,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
3555,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3557,Thumb Up,37,20,"(100, 176)",JPEG
3569,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3587,Thumb Down,37,19,"(100, 176)",JPEG
3594,Thumb Down,37,19,"(100, 176)",JPEG
3595,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3598,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3615,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3637,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3646,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3648,Thumb Up,37,20,"(100, 176)",JPEG
3653,Thumb Up,37,20,"(100, 132)",JPEG
3654,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
3656,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3691,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3713,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
3720,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3721,Thumb Down,37,19,"(100, 132)",JPEG
3750,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3752,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3756,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3757,Thumb Up,37,20,"(100, 176)",JPEG
3767,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3783,Thumb Down,37,19,"(100, 176)",JPEG
3784,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3798,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3802,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3819,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3840,Thumb Down,37,19,"(100, 176)",JPEG
3843,Thumb Down,37,19,"(100, 176)",JPEG
3849,Thumb Up,37,20,"(100, 176)",JPEG
3852,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3855,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
3862,Thumb Up,37,20,"(100, 176)",JPEG
3866,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3879,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3886,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3912,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3944,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3945,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
3976,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3999,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4011,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4018,Thumb Up,37,20,"(100, 176)",JPEG
4032,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4036,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4041,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4049,Thumb Up,37,20,"(100, 176)",JPEG
4054,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4078,Thumb Up,37,20,"(100, 176)",JPEG
4089,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4106,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4109,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4111,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4123,Thumb Down,37,19,"(100, 176)",JPEG
4155,Thumb Down,37,19,"(100, 132)",JPEG
4158,Thumb Up,37,20,"(100, 176)",JPEG
4160,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4170,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4210,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4240,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4245,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4247,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4256,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4269,Thumb Up,37,20,"(100, 132)",JPEG
4278,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4279,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4283,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4311,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4312,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4341,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4350,Thumb Up,37,20,"(100, 176)",JPEG
4365,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4367,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4368,Thumb Up,37,20,"(100, 176)",JPEG
4391,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4399,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4403,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4404,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4406,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4418,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4422,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4425,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4426,Thumb Up,37,20,"(100, 176)",JPEG
4427,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4434,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4438,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4449,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4466,Thumb Down,37,19,"(100, 176)",JPEG
4492,Thumb Down,37,19,"(100, 176)",JPEG
4496,Thumb Down,37,19,"(100, 132)",JPEG
4503,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4527,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4531,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4536,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4546,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4561,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4564,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4574,Thumb Down,37,19,"(100, 176)",JPEG
4585,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4598,Thumb Down,37,19,"(100, 176)",JPEG
4602,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4613,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4632,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
4635,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4638,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
4647,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
4650,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4651,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
